									
									
	17	1996-07-10	H	Dallas	3-2	W	8-9	Caricola (Donadoni) 35; Savarese (Donadoni) 48; Savarese (Ramos) 77	Tony Meola, Nicola Caricola, Ted Gillen (Chris Unger 60), Rhett Harty, Peter Vermes, Chris Brauchle (Stan Lembryk 81), Roberto Donadoni, Manuel Lagos, Tab Ramos, Rob Johnson (Ian Hennessy 78), Giovanni Savarese
	18	1996-07-21	A	Los Angeles	0-3	L	8-10		Tony Meola, Nicola Caricola, Cristian da Silva, Ted Gillen, Peter Vermes, Jeff Zaun, Roberto Donadoni, Manuel Lagos (Chris Brauchle 33), Tab Ramos (Chris Unger 80), Petter Villegas (Rob Johnson 72), Giovanni Savarese
	19	1996-07-24	A	San Jose	1-0	W	9-10	Johnson (Ramos, Villegas) 29	Tony Meola, Nicola Caricola, Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos (Ted Gillen 81), Chris Unger, Petter Villegas (Travis Rinker 73), Rob Johnson, Giovanni Savarese
	20	1996-07-28	H	San Jose	4-1	W	10-10	Johnson (Savarese, Donadoni) 36; Vermes (Donadoni) 51; Wood (Donadoni) 80; Harty (Johnson) 88	Tony Meola, Nicola Caricola, Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos (Damian Silvera 73), Chris Unger, Rob Johnson, Giovanni Savarese (A.J. Wood 55), Miles Joseph (Cristian da Silva 37)
	21	1996-08-03	A	New England	1-1	L	10-11	Donadoni (unassisted) 54	Tony Meola, Nicola Caricola (Matt Knowles 19), Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos (Damian Silvera 73), Chris Unger, Rob Johnson, Miles Joseph, Giovanni Savarese (A.J. Wood 58)
	22	1996-08-11	A	Colorado	2-0	W	11-11	Donadoni (unassisted) 14; Joseph (Donadoni) 34	Tony Meola, Rhett Harty, Matt Knowles, Peter Vermes, Jeff Zaun, Roberto Donadoni, Damian Silvera, Chris Unger (Ted Gillen 67), Rob Johnson (Petter Villegas 70), Miles Joseph, A.J. Wood (Giovanni Savarese 82)
	23	1996-08-14	H	New England	4-0	W	12-11	Wood (Donadoni) 12; Johnson (unassisted) 17; Johnson (De Avila) 73; De Avila (Ramos) 81	Tony Meola, Nicola Caricola, Rhett Harty, Matt Knowles, Peter Vermes, Roberto Donadoni, Tab Ramos, Chris Unger, Rob Johnson (Giovanni Savarese 83), Miles Joseph (Brent Longenecker 80), A.J. Wood (Antony De Avila 62)
	24	1996-08-17	A	Tampa Bay	1-3	L	12-12	Donadoni (pk) 67	Tony Meola, Nicola Caricola, Rhett Harty, Matt Knowles (Giovanni Savarese 83), Peter Vermes, Roberto Donadoni, Tab Ramos, Chris Unger (Brent Longenecker 81), Antony De Avila, Rob Johnson (A.J. Wood 46), Miles Joseph
	25	1996-08-21	H	DC United	2-3	L	12-13	De Avila (Ramos, Wood) 26; De Avila (unassisted) 65	Tony Meola, Nicola Caricola, Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos, Chris Unger (Damian Silvera 46, Rob Johnson 78), Antony De Avila, Miles Joseph, A.J. Wood (Giovanni Savarese 56)
	26	1996-09-01	A	Kansas City	2-2	L	12-14	Hennessy 15; Wood 45	Tony Meola, Jeff Zaun, Rhett Harty, Matt Knowles (Rob Johnson 70), Peter Vermes, Roberto Donadoni, Chris Unger, Tab Ramos, Miles Joseph (Damian Silvera 42), Ian Hennessy (Ted Gillen 54), A.J. Wood
	27	1996-09-04	H	Tampa Bay	0-2	L	12-15		Tony Meola, Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Ian Hennessy (Rob Johnson 46), Tab Ramos, Chris Unger (Ted Gillen 68), Antony De Avila, A.J. Wood (Giovanni Savarese 46), Miles Joseph
